day,canopy_cover,biomass,soil_moisture,yield
77,43.64,0.94,81.54,0.00
78,43.64,0.94,81.54,0.00
79,43.64,0.94,81.54,0.00
80,43.64,0.94,81.54,0.00
81,43.64,0.94,81.54,0.00
82,43.64,0.94,81.54,0.00
83,43.64,0.94,81.54,0.00
84,43.64,0.94,81.54,0.00
85,43.64,0.94,81.54,0.00
86,43.64,0.94,81.54,0.00
87,43.64,0.94,81.54,0.00
88,43.64,0.94,81.54,0.00
89,43.64,0.94,81.54,0.00
90,43.64,0.94,81.54,0.00
91,43.64,0.94,81.54,0.00
92,43.64,0.94,81.54,0.00
93,43.64,0.94,81.54,0.00
94,43.64,0.94,81.54,0.00
95,43.64,0.94,81.54,0.00
96,43.64,0.94,81.54,0.00
97,43.64,0.94,81.54,0.00
98,43.64,0.94,81.54,0.00
99,43.64,0.94,81.54,0.00
100,43.64,0.94,81.54,0.00
101,43.64,0.94,81.54,0.00
102,43.64,0.94,81.54,0.04
103,43.64,0.94,81.54,0.05
104,43.64,0.94,81.54,0.06
105,43.64,0.94,81.54,0.08
106,43.64,0.94,81.54,0.10
107,43.64,0.94,81.54,0.12
108,43.64,0.94,81.54,0.14
109,43.64,0.94,81.54,0.16
110,43.64,0.94,81.54,0.18
111,43.64,0.94,81.54,0.20
112,43.64,0.94,81.54,0.22
113,43.64,0.94,81.54,0.24
114,43.64,0.94,81.54,0.26
115,43.64,0.94,81.54,0.28
116,43.64,0.94,81.54,0.30
117,43.64,0.94,81.54,0.32
118,43.64,0.94,81.54,0.34
119,43.64,0.94,81.54,0.36
120,43.64,0.94,81.54,0.39
121,43.64,0.94,81.54,0.41
122,43.64,0.94,81.54,0.43
123,43.64,0.94,81.54,0.45
124,43.64,0.94,81.54,0.47
125,43.64,0.94,81.54,0.49
126,43.64,0.94,81.54,0.50
127,43.64,0.94,81.54,0.50
128,43.64,0.94,81.54,0.50
129,43.64,0.94,81.54,0.50
130,43.64,0.94,81.54,0.50
131,30.62,0.94,81.54,0.50
132,28.98,0.94,81.54,0.50
133,27.18,0.94,81.54,0.50
134,25.19,0.94,81.54,0.50
135,22.99,0.94,81.54,0.50
136,20.57,0.94,81.54,0.50
137,17.89,0.94,81.54,0.50
138,14.94,0.94,81.54,0.50
139,11.69,0.94,81.54,0.50
140,8.09,0.94,81.54,0.50
141,4.13,0.94,81.54,0.50
142,0.00,0.94,81.54,0.50
143,0.00,0.94,81.54,0.50
144,0.00,0.94,81.54,0.50
145,0.00,0.94,81.54,0.50
146,0.00,0.94,81.54,0.50
147,0.00,0.94,81.54,0.50
148,0.00,0.94,81.54,0.50
149,0.00,0.94,81.54,0.50
150,0.00,0.94,81.54,0.50
151,0.00,0.94,81.54,0.50
152,0.00,0.94,81.54,0.50
153,0.00,0.94,81.54,0.50
154,0.00,0.94,81.54,0.50
155,0.00,0.94,81.54,0.50
156,0.00,0.94,81.54,0.50
157,0.00,0.94,81.54,0.50
158,0.00,0.94,81.54,0.50
159,0.00,0.94,81.54,0.50
160,0.00,0.94,81.54,0.50
161,0.00,0.94,81.54,0.50
162,0.00,0.94,81.54,0.50
163,0.00,0.94,81.54,0.50
164,0.00,0.94,81.54,0.50
165,0.00,0.94,81.54,0.50
166,0.00,0.94,81.54,0.50
167,0.00,0.94,81.54,0.50
